id,type,value,parent_id,indelible
'9a04f9e9-fee8-4e4c-bb59-92750f41273f','ALLOWED_USING_TYPE','Общественное питание',null,null
'7341c533-786a-4422-8f87-fa25688fc746','ALLOWED_USING_TYPE','Гостиничное обслуживание',null,null
'e7de7045-11f7-45de-99de-431a19426df0','ALLOWED_USING_TYPE','Развлечения',null,null
'f587656b-f196-422e-9cd7-acaaa6c72f59','ALLOWED_USING_TYPE','Развлекательные мероприятия',null,null
'19414383-8cb2-4228-b6fb-dcc727956eaa','ALLOWED_USING_TYPE','Проведение азартных игр',null,null
'10cfcf68-2784-4720-a6f9-4d2b5a3f50e3','ALLOWED_USING_TYPE','Проведение азартных игр в игорных зонах',null,null
'de1ed9d6-b9cf-4be6-abdc-ad633f021a6a','ALLOWED_USING_TYPE','Служебные гаражи',null,null
'6688fbc9-e8d6-4456-a18f-e7d42111a1b7','ALLOWED_USING_TYPE','Объекты дорожного сервиса',null,null
'29401367-d74d-4b94-9168-5794a50c2abf','ALLOWED_USING_TYPE','Заправка транспортных средств',null,null
'9d17b4db-8f65-4520-ae34-ac6bb95db2db','ALLOWED_USING_TYPE','Обеспечение дорожного отдыха',null,null
'2f9f363d-8a66-41f1-a5ac-da3091f728dd','ALLOWED_USING_TYPE','Автомобильные мойки',null,null
'8f0e7005-741d-4942-8fbc-e58cf99f0cd3','ALLOWED_USING_TYPE','Ремонт автомобилей',null,null
'727632c7-aab2-4dda-810c-3e575792e579','ALLOWED_USING_TYPE','Выставочно-ярмарочная деятельность',null,null
'37ce9449-149c-497d-bb28-a3a2eecd50bb','ALLOWED_USING_TYPE','Отдых (рекреация)',null,null
'990fc5ea-d736-4b0e-b6cf-bd77af11b742','ALLOWED_USING_TYPE','Спорт',null,null
'9b5c00a9-bf17-4306-b5b7-3d82da8e81d6','ALLOWED_USING_TYPE','Обеспечение спортивно-зрелищных мероприятий',null,null
'c27ddc44-9025-4aa4-9cc7-39017ea76f13','ALLOWED_USING_TYPE','Обеспечение занятий спортом в помещениях',null,null
'ad76acee-42f6-4031-b946-609e73e34a71','ALLOWED_USING_TYPE','Площадки для занятий спортом',null,null
'58510888-5b97-491a-ad2f-34fa8af4b408','ALLOWED_USING_TYPE','Оборудованные площадки для занятий спортом',null,null
'65b44745-5260-4bf9-abd6-c10b1ec92cd8','ALLOWED_USING_TYPE','Водный спорт',null,null
'8674d7e1-098c-4e03-a814-eee90ac6e034','ALLOWED_USING_TYPE','Авиационный спорт',null,null
'66dd2c4b-37cb-45da-9daa-76b611183c4e','ALLOWED_USING_TYPE','Спортивные базы',null,null
'6e520081-38ad-4bf5-95d2-f6ece64fd4ab','ALLOWED_USING_TYPE','Природно-познавательный туризм',null,null
'02916c1d-bc73-44fc-aee1-08787fd955c3','ALLOWED_USING_TYPE','Туристическое обслуживание',null,null
'7eb678b9-55a8-451f-98fd-6de913c63a0c','ALLOWED_USING_TYPE','Охота и рыбалка',null,null
'27f4615f-db17-4e3f-9cec-86ced29768b0','ALLOWED_USING_TYPE','Причалы для маломерных судов',null,null
'faeeee84-9856-4b78-b38f-6fa80a416897','ALLOWED_USING_TYPE','Поля для гольфа или конных прогулок',null,null
'6ef4ea71-68cb-474c-b2ea-1566f64acea1','ALLOWED_USING_TYPE','Производственная деятельность',null,null
'd5180727-0107-43dd-9c7e-fd408b96f319','ALLOWED_USING_TYPE','Недропользование',null,null
'dbabc11a-3191-4469-ac28-e14a3c8688d0','ALLOWED_USING_TYPE','Тяжелая промышленность',null,null
'4d6a3c01-0bce-4bc3-8e9b-79b8498c11a7','ALLOWED_USING_TYPE','Автомобилестроительная промышленность',null,null
'becc57a1-8c7e-434a-af5a-0d3611b0562d','ALLOWED_USING_TYPE','Легкая промышленность',null,null
'9fee3901-532b-4475-9d18-9be97dd82cb2','ALLOWED_USING_TYPE','Фармацевтическая промышленность',null,null
'1541659b-08e1-4f7f-902f-e4890e975d29','ALLOWED_USING_TYPE','Пищевая промышленность',null,null
'63a0387a-48ca-459d-a0db-9eef75606cdb','ALLOWED_USING_TYPE','Нефтехимическая промышленность',null,null
'bd1bf9de-4c1b-4883-a61d-b0d4577a016e','ALLOWED_USING_TYPE','Строительная промышленность',null,null
'64f1d2c2-5c1a-413c-b41b-db0cb8fea602','ALLOWED_USING_TYPE','Энергетика',null,null
'8b09acf4-9cc5-45e8-9fdf-dae745e4c183','ALLOWED_USING_TYPE','Атомная энергетика',null,null
'2358f950-0151-4a85-a04a-51a3cbbe3bb4','ALLOWED_USING_TYPE','Связь',null,null
'111ca1ba-8173-4f23-93f5-649baf5ed484','ALLOWED_USING_TYPE','Склады',null,null
'8c86823a-cc32-49fc-8292-1ccf4427a3d5','ALLOWED_USING_TYPE','Складские площадки',null,null
'83c7199f-b3c9-47f6-9990-41f1d35a01ab','ALLOWED_USING_TYPE','Обеспечение космической деятельности',null,null
'9610184c-2408-45f4-b12b-7ccba5fb72de','ALLOWED_USING_TYPE','Целлюлозно-бумажная промышленность',null,null
'bdaf2cb5-791d-46db-a428-dd7735611b28','ALLOWED_USING_TYPE','Научно-производственная деятельность',null,null
'd6b07647-7c9b-41d0-949a-611e178347ce','ALLOWED_USING_TYPE','Транспорт',null,null
'70bcc981-5928-4a54-93e2-111d794032c0','ALLOWED_USING_TYPE','Железнодорожный транспорт',null,null
'adca89df-261c-4535-8bc9-448cb445dbe7','ALLOWED_USING_TYPE','Железнодорожные пути',null,null
'7f8ef868-59f1-4fed-8aaa-db33bd6d4599','ALLOWED_USING_TYPE','Обслуживание железнодорожных перевозок',null,null
'59787e47-c769-44d8-8b2d-cca4bb768661','ALLOWED_USING_TYPE','Автомобильный транспорт',null,null
'd26c01ef-9ce8-4657-8ad9-486bd2416f3f','ALLOWED_USING_TYPE','Размещение автомобильных дорог',null,null
'0b4eb222-7f49-48f1-9d8c-d9e520971c1d','ALLOWED_USING_TYPE','Обслуживание перевозок пассажиров',null,null
'be587a45-e0b1-4eb7-ab36-a7d4c90978af','ALLOWED_USING_TYPE','Стоянки транспорта общего пользования',null,null
'92b8879e-ac8a-48ef-96b2-4903b2bce7f0','ALLOWED_USING_TYPE','Водный транспорт',null,null
'7a48a12d-05d6-4dea-9719-7ed044b7b23c','ALLOWED_USING_TYPE','Воздушный транспорт',null,null
'b5b3ff35-8564-4e13-88ba-75e40aff7745','ALLOWED_USING_TYPE','Трубопроводный транспорт',null,null
'048e2242-8c5b-47ee-91c4-76483ca05331','ALLOWED_USING_TYPE','Внеуличный транспорт',null,null
'6644d51c-02ca-4a11-825f-0d720244a58a','ALLOWED_USING_TYPE','Обеспечение обороны и безопасности',null,null
'16ccf2ee-732f-4601-bd32-c4bc4ad4f508','ALLOWED_USING_TYPE','Обеспечение вооруженных сил',null,null
'71b6cf95-07c4-4583-903e-814a83cd4d46','ALLOWED_USING_TYPE','Охрана Государственной границы Российской Федерации',null,null
'6eaf92d4-ca4f-44bd-ae03-34aa262d1398','ALLOWED_USING_TYPE','Обеспечение внутреннего правопорядка',null,null
'524991c7-4044-49d8-934b-ae4711f26ecc','ALLOWED_USING_TYPE','Обеспечение деятельности по исполнению наказаний',null,null
'a2b6662c-e6fc-4a66-9524-55488a7ce24f','ALLOWED_USING_TYPE','Деятельность по особой охране и изучению природы',null,null
'ef2835fb-50ee-4718-81cf-8b385c8c3fa0','ALLOWED_USING_TYPE','Охрана природных территорий',null,null
'6bb333a5-5045-493c-8ff2-2741f0bc30cb','ALLOWED_USING_TYPE','Курортная деятельность',null,null
'6e157b76-d827-4003-8ecb-62e5d02d4880','ALLOWED_USING_TYPE','Санаторная деятельность',null,null
'9ab1cdab-1673-497f-a627-7ba880dc7804','ALLOWED_USING_TYPE','Историко-культурная деятельность',null,null
'ce33c71a-f110-491c-b625-44600f285043','ALLOWED_USING_TYPE','Использование лесов',null,null
'b5b1d786-c898-4333-b195-85b3c6d76023','ALLOWED_USING_TYPE','Заготовка древесины',null,null
'a759ccde-c536-4c7a-95a3-c232cbf58028','ALLOWED_USING_TYPE','Лесные плантации',null,null
'811722b9-c70a-48a1-8451-897259268d0e','ALLOWED_USING_TYPE','Заготовка лесных ресурсов',null,null
'fa1a8a54-44dc-4b51-a24a-d52637e019d5','ALLOWED_USING_TYPE','Резервные леса',null,null
'f3ad126a-76cb-460d-9375-6b3609d3b9ce','ALLOWED_USING_TYPE','Водные объекты',null,null
'a6226bed-6843-4940-9c44-c347f3a7f6c0','ALLOWED_USING_TYPE','Общее пользование водными объектами',null,null
'94ec404b-ee8e-498e-a237-f04d35a8eedc','ALLOWED_USING_TYPE','Специальное пользование водными объектами',null,null
'c61146bd-9b41-4d04-9fb1-dc1c866ff9e1','ALLOWED_USING_TYPE','Гидротехнические сооружения',null,null
'795e776b-290e-412b-be19-47911381c30e','ALLOWED_USING_TYPE','Земельные участки (территории) общего пользования',null,null
'd1db0083-fb50-4a85-969f-8b69fb653fc5','ALLOWED_USING_TYPE','Улично-дорожная сеть',null,null
'ab812a7a-c440-4a11-930f-0f905f5afba0','ALLOWED_USING_TYPE','Благоустройство территории',null,null
'4ec988a8-bc29-4c6d-8ec6-cd2169895e8f','ALLOWED_USING_TYPE','Ритуальная деятельность',null,null
'f19820be-7f4d-472a-94b9-63f8555ef46c','ALLOWED_USING_TYPE','Специальная деятельность',null,null
'a63bf5cc-7a70-4b77-91b0-e57797f875c5','ALLOWED_USING_TYPE','Запас',null,null
'6b8c0449-029b-47e6-834c-aed6cf34e727','ALLOWED_USING_TYPE','Земельные участки общего назначения',null,null
'eed790cf-afb8-4cb8-9447-48e7d742796c','ALLOWED_USING_TYPE','Ведение огородничества',null,null
'2f85b5d5-bd80-495e-a8de-4cdcf9178ad4','ALLOWED_USING_TYPE','Ведение садоводства',null,null

'0d5d6fa2-da24-4978-a61c-4e177823d8d3','ROAD_TYPE','Автомобильные дороги федерального значения',null,null
'e108ade1-cc9b-4c50-b302-b9fe2c54a642','ROAD_TYPE','Автомобильные дороги регионального или межмуниципального значения',null,null
'0882af70-7a0e-450e-a4b7-890c6f8d574f','ROAD_TYPE','Автомобильные дороги местного значения',null,null
'bff43edb-985c-46a3-a05d-c74c12e9c381','ROAD_TYPE','Частные автомобильные дороги',null,null

'528f93b6-d293-49b2-a92a-15c06cdbb371','COORDINATE_SYSTEM','ГСК-2011 - государственная геодезическая система координат 2011 года',null,null
'e87d9785-26c3-44d6-b3d6-d46250949824','COORDINATE_SYSTEM','ПЗ-90.11 - общеземная геоцентрическая система координат "Параметры Земли 1990 года"',null,null
'a8e66296-da5b-4d30-b5e0-c261e62286bd','COORDINATE_SYSTEM','СК-95 - система геодезических координат 1995 года',null,null
'97e98593-f7f0-435c-81be-2c47accf8394','COORDINATE_SYSTEM','СК64 - система геодезических координат 1964 года',null,null
'fdf986ef-0de2-4598-9f24-ce012118912a','COORDINATE_SYSTEM','СК63 - система геодезических координат 1963 года',null,null
'15fa1986-cb4f-4fa7-8c9f-4bab07aaa7bb','COORDINATE_SYSTEM','СК47 - система геодезических координат 1947 года',null,null
'6b40b81f-5ec8-4bb9-999d-bb135991bfa2','COORDINATE_SYSTEM','СК-42 - единая система геодезических координат 1942 года',null,null
'6a66719b-4742-4229-955a-eb1411073f77','COORDINATE_SYSTEM','WGS 84 - всемирная система геодезических параметров Земли 1984 года',null,null
'd304da0a-da51-4573-b83d-85a3ac6839f7','COORDINATE_SYSTEM','МСК-01 Республика Адыгея',null,null
'9ec8a940-38b7-4e15-a80d-f43c838b2018','COORDINATE_SYSTEM','МСК-02 Республика Башкортостан',null,null
