id,type,value,parent_id
'3283856f-8181-4b29-816a-a6131e4ea349','SUBJECT_AREA','Дятьковский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'c7f6bc7c-726c-41ad-a2c6-2df986cc9140','SUBJECT_AREA','Жирятинский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'f0adf703-6a2d-472c-aebd-17df583aa4d0','SUBJECT_AREA','Жуковский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'f0587c2b-b5fa-4170-bd5e-1da2fd5900c3','SUBJECT_AREA','Злынковский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'6a6f0a4a-954b-494f-994a-f6b885cccfa0','SUBJECT_AREA','Карачевский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'd9a48e38-11cd-4bc9-8c5d-c0dd6835d007','SUBJECT_AREA','Клетнянский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'cf7f5fe4-d4b8-47e0-a0a2-c6af4374c32d','SUBJECT_AREA','Климовский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'5db3fbd0-b415-4015-99f7-daca7f6aa034','SUBJECT_AREA','Клинцовский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'5353279e-18ae-475c-94e8-451780098169','SUBJECT_AREA','Клинцы г','5adf6784-f86e-43ab-8618-921cbaa1625b'
'7a8163ff-5b60-42e5-bf6f-b14cbb766cc3','SUBJECT_AREA','Комаричский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'68ecb8e5-48cf-42c2-8cdb-4a4c34947da2','SUBJECT_AREA','Красногорский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'67bf10f6-6306-49fe-8eb2-a1f529964bf5','SUBJECT_AREA','Мглинский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'f14dbedb-1b12-4255-a7e6-68ba5dc549dd','SUBJECT_AREA','Навлинский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'c0eb167e-7fd8-455d-8b98-064a7aaeaf6c','SUBJECT_AREA','Новозыбков г','5adf6784-f86e-43ab-8618-921cbaa1625b'
'a00b9398-e804-452d-aa4f-ddad3ab22c26','SUBJECT_AREA','Новозыбковский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'4461cc6f-ace7-4b80-84b4-fab6608f2a1c','SUBJECT_AREA','Погарский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'fcf576cb-59b9-42fc-acf6-91ff17483fb9','SUBJECT_AREA','Почепский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'aca0332c-b5f7-4f9f-84e2-5e15ac8ab7d3','SUBJECT_AREA','Рогнединский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'6e1bfa3f-0c0c-42e5-8e27-ee712c935bcc','SUBJECT_AREA','Севский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'ac7718dc-ae13-43d6-96e2-8225e64dd7c9','SUBJECT_AREA','Сельцо г','5adf6784-f86e-43ab-8618-921cbaa1625b'
'd6dc2260-17b2-4fba-88df-af3273b27d49','SUBJECT_AREA','Стародубский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
'694f27d4-7e4d-49fb-853a-d959e4673467','SUBJECT_AREA','Суземский р-н','5adf6784-f86e-43ab-8618-921cbaa1625b'
